,title,link,by-line
0,National junior athletics | Kiran rewrites his 110m hurdles record,https://www.thehindu.com/sport/cricket/national-junior-athletics-kiran-rewrites-his-110m-hurdles-record/article68966380.ece,Y.B. Sarangi
1,Syed Mushtaq Ali Trophy | Ghosh holds his nerve to snatch it for Bengal,https://www.thehindu.com/sport/cricket/syed-mushtaq-ali-trophy-ghosh-holds-his-nerve-to-snatch-it-for-bengal/article68966074.ece,Ashwin Achal
2,"Pink ball charm — darling of the masses, villain for willow wielders",https://www.thehindu.com/sport/cricket/pink-ball-charm-darling-of-the-masses-villain-for-willow-wielders/article68966675.ece,R. Kaushik
3,"World Test Championship table: South Africa goes on top, pushes Australia to second; India slides to third",https://www.thehindu.com/sport/cricket/world-test-championship-table-south-africa-goes-on-top-pushes-australia-to-second-india-slides-to-third/article68965610.ece,PTI
4,Syed Mushtaq Ali Trophy | Shami shows consistent progress as speculation grows around India call-up,https://www.thehindu.com/sport/cricket/shami-bgt-india-australia-syed-mushtaq-ali-trophy-bengal/article68965540.ece,Ashwin Achal
5,"Shastri, Gavaskar urge 'subdued' Rohit to return to opener's role",https://www.thehindu.com/sport/shastri-gavaskar-urge-subdued-rohit-to-return-to-openers-role/article68964858.ece,PTI
6,"Pink ball Test: Nathan Lyon, a quintessential Australian hero at Adelaide",https://www.thehindu.com/sport/cricket/pink-ball-test-nathan-lyon-a-quintessential-australian-hero-at-adelaide/article68964809.ece,K C Vijaya Kumar
7,India vs Australia second Test: Another sobering defeat for India in pink ball Test at Adelaide,https://www.thehindu.com/sport/cricket/india-vs-australia-pink-ball-test-in-adelaide-review/article68964766.ece,K C Vijaya Kumar
8,"Paine lauds Labuschagne, McSweeney's resilience, says Australia team treated harshly at times",https://www.thehindu.com/sport/cricket/paine-lauds-labuschagne-mcsweeneys-resilience-says-australia-team-treated-harshly-at-times/article68964334.ece,PTI
9,Syed Mushtaq Ali Trophy | Shami in limelight as Bengal takes on Chandigarh in pre-quarterfinal,https://www.thehindu.com/sport/cricket/syed-mushtaq-ali-trophy-shami-in-limelight-as-bengal-takes-on-chandigarh-in-pre-quarterfinal/article68962207.ece,Ashwin Achal
